req_id,metodo,artefacto,criterio,estandar_ref,gate,resultado,revisor,fecha,notas
REQ-CB-PG-001-Loads-Ultimate,analysis,./evidence/analysis/STR-AN-001.md,"MS >= 0.00 (limit & ultimate)",CS-25.301;CS-25.303;MMPDS,PDR,PENDIENTE,,,
REQ-CB-PG-001-Loads-Ultimate,test,./evidence/test/STR-TST-002_Pressure-Test.md,"Sin fallo a UL; deformación dentro de límites",CS-25.307,PDR,PENDIENTE,,,
REQ-CB-PG-002-Aeroelastic,test,./evidence/test/STR-TST-004_GVT-Flutter.md,"Sin flutter hasta 1.15·V_D",CS-25.629,CDR,PENDIENTE,,,
REQ-CB-PG-002-Aeroelastic,test,./evidence/test/PRF-TST-003_Modal-Test.md,"Correlación modos 1–10 | |Δf|/f| <= 5%",CS-25.629,PDR,PENDIENTE,,,
REQ-CB-PG-003-Cryogenic-Compatibility,analysis,./evidence/analysis/THR-AN-003_Thermal-FEM.md,"ΔT_steady <= 30 K; ΔT_transient <= 50 K",ISO 11114-4,PDR,PENDIENTE,,,
REQ-CB-PG-003-Cryogenic-Compatibility,test,./evidence/test/THR-TST-CRYO-001.md,"0 fisuras tras 20k ciclos; medidas ΔT dentro de límites",ISO 11114-4,QR,PENDIENTE,,,
REQ-CB-PG-004-Lightning-Bonding,analysis,./evidence/analysis/EMC-AN-001.md,"Red de retorno continua; puntos de fuga < umbral",SAE ARP5412;SAE ARP5416,PDR,PENDIENTE,,,
REQ-CB-PG-004-Lightning-Bonding,test,./evidence/test/LPS-TST-001.md,"R_bond <= 2.5 mΩ; continuidad verificada",SAE ARP5416,QR,PENDIENTE,,,
REQ-CB-PG-004-Lightning-Bonding,test,./evidence/test/EMC-TST-001.md,"Cumplimiento indirectos DO-160G §22",DO-160G§22,QR,PENDIENTE,,,
REQ-CB-PG-005-EMC-Shielding,analysis,./evidence/analysis/SEC-AN-003_Cyber-Analysis.md,"Atenuación >= 40 dB en bandas objetivo",DO-160G§20/21,PDR,PENDIENTE,,,
REQ-CB-PG-005-EMC-Shielding,test,./evidence/test/EMC-TST-001.md,"Atenuación medida >= 40 dB",DO-160G§20/21,QR,PENDIENTE,,,
REQ-CB-PG-006-Cutout-Integrity,analysis,./evidence/analysis/STR-AN-003_Loads-Analysis.md,"MS_residual >= 0.00 en aberturas",CS-25.365,PDR,PENDIENTE,,,
REQ-CB-PG-006-Cutout-Integrity,test,./evidence/test/MFG-TST-003_Metrology-Test.md,"Distancias a borde y refuerzos conforme a allowables",MMPDS,CDR,PENDIENTE,,,
REQ-CB-PG-007-Inspectability,inspection,./evidence/inspection/MNT-INS-002_Borescope-Access.md,"Cobertura NDI >= 95% zonas críticas",CS-25 (Mantenimiento),CDR,PENDIENTE,,,
REQ-CB-PG-007-Inspectability,inspection,./evidence/inspection/MFG-INS-002_Access-Inspection.md,"Accesos definidos y seguros (MRO)",CS-25 (Mantenimiento),CDR,PENDIENTE,,,
REQ-CB-PG-008-Weight-CG,analysis,./evidence/analysis/PRF-AN-001_Weight-Analysis.md,"Dentro de asignación de masa; margen >= 0 kg",ARP4754A (asignación),PDR,PENDIENTE,,,
REQ-CB-PG-008-Weight-CG,analysis,./evidence/analysis/PRF-AN-002_CG-Analysis.md,"CG dentro de sobre de misión para consumo LH₂",ARP4754A (asignación),CDR,PENDIENTE,,,
REQ-CB-PG-009-H2-Isolation,analysis,./evidence/analysis/EMC-AN-001.md,"Aislamiento >= 10 MΩ a interfaces LH₂",SAE ARP5412/5416;ISO 11114-4,PDR,PENDIENTE,,,
REQ-CB-PG-009-H2-Isolation,test,./evidence/test/ENV-TST-001_Lightning-Protection.md,"Sin corrientes peligrosas hacia LH₂; no sparkover",SAE ARP5416;DO-160G§22,QR,PENDIENTE,,,
